document,term,count
1,agamemnon,1
4,agamemnon,1
4,front,1
4,palace,1
4,represents,1
4,scene,1
4,space,1
4,the,1
5,altar,1
5,altars,1
5,argos,1
5,centre,1
5,many,1
5,zeus,1
6,high,1
6,night,1
6,roof,1
6,sides,1
6,stands,1
6,terrace,1
6,watchman,1
8,watchman,1
10,prayed,1
10,vigil,1
10,waste,1
10,yearlong,1
11,elbowstayed,1
11,god,1
11,respite,1
11,watching,1
12,atreidaes,1
12,hall,1
12,sleuthhounds,1
12,watch,1
13,festival,1
13,know,1
13,midnight,1
13,till,1
13,well,1
13,yon,1
14,lonely,1
14,stars,1
14,swarming,1
15,bearers,1
15,man,1
15,snow,1
15,summer,1
16,fire,1
16,great,1
16,heavenly,1
16,lords,1
16,shining,1
16,throned,1
17,await,1
17,beacon,1
17,pyre,1
17,sign,1
17,still,1
18,bears,1
18,capture,1
18,flame,1
18,troys,1
18,voice,1
19,aim,1
19,oerseas,1
19,shouting,1
19,surely,1
20,cleaveth,1
20,heart,1
20,manpassioned,1
20,womans,1
21,bed,2
21,turn,1
22,dark,1
22,dewdrenched,1
22,near,1
22,stumbling,1
23,alway,1
23,cometh,1
23,dream,1
23,fear,1
23,sleep,1
24,breathes,1
24,eye,1
24,fain,1
24,lest,1
24,round,1
24,warning,1
25,close,2
25,may,1
25,wake,1
25,well,1
26,perchance,1
26,sing,1
26,think,1
26,troll,1
26,tune,1
27,medicine,1
27,music,1
27,sleep,1
27,soon,1
28,changes,1
28,sighing,1
28,tale,1
28,untold,1
29,house,1
29,mastered,1
29,old,1
29,well,1
30,god,1
30,howbeit,1
30,light,1
30,may,1
30,rest,1
30,send,1
30,yet,1
31,across,1
31,flame,1
31,flashed,1
31,good,1
31,news,1
31,night,1
33,distance,1
33,night,1
33,silent,1
33,suddenly,1
33,watching,1
34,blaze,1
34,fire,1
34,glimmer,1
34,increasing,1
34,presently,1
37,birth,1
37,dark,1
37,daylight,1
37,kindler,1
38,argive,1
38,dancing,1
38,dawn,1
38,earth,1
38,upon,1
39,end,1
39,great,1
39,hail,1
39,within,1
40,agamemnons,1
40,bear,1
40,queen,1
40,word,1
41,answer,1
41,dawn,1
41,lift,1
41,like,1
41,rise,1
41,strong,1
42,glad,1
42,lamp,1
42,triumphsong,1
42,womens,1
43,citadel,1
43,ilions,1
43,verily,2
44,beacons,1
44,fallen,1
44,flaming,1
44,tell,1
44,yon,1
45,dance,1
45,tread,1
45,will,1
46,dice,1
46,masters,1
46,others,1
46,score,1
47,good,1
47,mine,1
47,night,1
47,plain,1
47,sixes,1
47,three,1
49,begin,1
49,lights,1
49,palace,1
49,show,1
51,clasp,1
51,good,1
51,hand,1
51,ill,1
51,shall,1
52,beyond,1
52,dear,1
52,hand,1
52,lords,1
52,returning,1
53,great,1
53,hath,1
