num,tweets
1,"RT @oceanclub: @eilisohanlon @stonyjim @vonprond Eilis, I'm from Pearse St and even I can tell a Chardonnay from so?"
2,?@roystbaggage: 'Go to your Auntie Chardonnay and she will help you piss up against that wall' - the scum of Dover.?what's this even mean ha
3,Big thank you to Ian at Fowles wine for making me a Chardonnay drinker. @LadiesWhoShoot #wrongwayround http://t.co/KiA2StsOEO
4,"RT @oceanclub: @eilisohanlon @stonyjim @vonprond Eilis, I'm from Pearse St and even I can tell a Chardonnay from so?"
5,"After to worst rain at night known, floating flip flops, we have woke to the hottest sun!! #pool #sunshine #Chardonnay #happyhols"
6,"@eilisohanlon @stonyjim @vonprond Eilis, I'm from Pearse St and even I can tell a Chardonnay from something else."
7,'Go to your Auntie Chardonnay and she will help you piss up against that wall' - the scum of Dover.
8,RT @vcveats: 446 Chardonnay http://t.co/ucSyVGev93 #winetourism
9,#catenaalta #chardonnay still open on our tasting counter - #comeandexplore and tell us what you think!
10,"Pls do@kc_chardonnay: Hehehe, kumn ova!@Kinbusorlah: See the way muslims are bringing food to our house :D  "
11,"Hehehe, kumn ova!@Kinbusorlah: See the way muslims are bringing food to our house :D"
12,RT @Boity: Chardonnay &amp; Rainbow Cake with my @mantsoepout http://t.co/a3Bbd8w1fO
13,Tomorrow I'm going to have a nice glass of Chardonnay and wind down with a good book in the corner of the county:-) 
14,This was all inspired by a little Marvin Gaye and Chardonnay...     
15,Just decided on @EastDellEstates Black Cab and @calamuswinery Barrel Kissed Chardonnay as wedding wines!    
16,@LilLakers JUST TO SET THE MOOD GIRL I BROUGHT SOME MARVIN GAYE AND CHARDONNAY SO JUST LET THE SONG PLAAAY  
17,RT @_barneywynne_: Just to set the mood girl i brought some marvin gaye and chardonnay      
18,@TylerHickok was it inspired by a little Marvin gaye abs chardonnay?
19,Just to set the mood girl i brought some marvin gaye and chardonnay 
20,"RT @Tamgui: MT @Jdnrm: Some kind of meat, and a piss poor measure of Hamilton Chardonnay http://t.co/yNMFbZLHK1 #LeedsVsSydney #LeedsTour?  "
21,RT @vcveats: 446 Chardonnay http://t.co/ucSyVGev93 #winetourism     
22,I can never eat a full packet of Co-op sea salt and Chardonnay wine vinegar flavour crisps. They're too intense.    
23,Marvin Gaye and Chardonnay  
24,I brought some Marvin Gaye and Chardonnay.  
25,446 Chardonnay http://t.co/ucSyVGev93 #winetourism  
26,RT @NowOnRadio1Xtra: Marvin &amp; Chardonnay - by Big Sean #bbc #radio1xtra 
27,Marvin &amp; Chardonnay - by Big Sean #bbc #radio1xtra      
28,"MT @Jdnrm: Some kind of meat, and a piss poor measure of Hamilton Chardonnay http://t.co/yNMFbZLHK1 #LeedsVsSydney #LeedsTourismBoard       "
29,"Blue eye Trevalla roasted fillet with Jerusalem artichoke, Jamon &amp; witlof w/ 2012 Hamilton Chardonnay #Aria http://t.co/AnFDxUmpdo      "
30,7 am cocktails to start the trip! @stineyyyy homemade mimosas at the club #orangejuice #Chardonnay http://t.co/DuALwat7V6   
31,I dreamt that @gracehelbig cooked me dinner and insisted I drank Chardonnay to it. Why Chardonnay. And why were we sitting on a rock.       
32,"RT @FlashVino: Had a lot of customers asking what happened to old school big oaky buttery Chardonnay recently, my answer, you stopped buyin?"
33,"Hey, Grannies, meditation and chardonnay! http://t.co/yjsysb6UBy    "
34,wine 2010 Fox Run Vineyards Chardonnay Reserve 750 mL by Fox Run Vineyards Buy new: $15.99 (Visit the Hot New... http://t.co/klgpgcI8pH     
35,RT @majesticgul: Very exciting online exclusive the Eileen Hardy Chardonnay from Tasmania - very very good - check out the website for det? 
36,Very exciting online exclusive the Eileen Hardy Chardonnay from Tasmania - very very good - check out the website for details       
37,"nothing like a racing game victory,and good music blasting in your earphones..and a beer or chardonnay--specially after reading alot or movi"
38,"RT @WonderWines: Our #competition is still live if you fancy winning a bottle of Board Meeting Shiraz, Chardonnay &amp; Cabernet Rose!? https:/?    "
39,"RT @champdenwhite: @JourneysEndWine Thanks for the support, glad you like the pictures. Had a bottle of your Chardonnay at the weekend. Lov?"
40,@champdenwhite A pleasure Colin and thank you for the support too. So pleased you enjoyed the Chardonnay. @waitrosewine     
41,RT @TheWineOak: #thewineoak #pouring #wine into a #wineglass #whitewine #chardonnay #spring http://t.co/m4wpihibKl  
42,"@JourneysEndWine Thanks for the support, glad you like the pictures. Had a bottle of your Chardonnay at the weekend. Lovely. @waitrosewine  "
43,But this girl. I don't drink hey! :/ RT @CurvyChoc_Brown: @PatrickShabangu I got a bottle of Chardonnay!!! Lets!!!  
44,@PatrickShabangu I got a bottle od Chardonnay!!! Lets!!!    
45,@LeopardLeapWine unwooded 2012 #chardonnay was my fave of the #wine tasting &amp; in all of #Franschhoek SAF. Zesty! http://t.co/zNtFOnIfVp 
46,"I visited FROMM in 2007, Chardonnay stood out to me, old world style, very good! RT?@FrommWinery: @NickWineJournal nice praise, thanks Nick?"
47,"RT @FlashVino: Had a lot of customers asking what happened to old school big oaky buttery Chardonnay recently, my answer, you stopped buyin?"
48,Marvin Gaye and Chardonnay  
49,RT @majesticwine: New! Super cool climate Tasmanian Chardonnay exclusive to http://t.co/RZNbPTEi1U. On trend and absolutely delicious! http?
50,"Had a lot of customers asking what happened to old school big oaky buttery Chardonnay recently, my answer, you stopped buying it!   "
51,RT @JinkxMonsoon: This is how Jinkx double fists: chocolate milkshake and a polite glass of Chardonnay. http://t.co/DuD04ylk5w      
52,New! Super cool climate Tasmanian Chardonnay exclusive to http://t.co/RZNbPTEi1U. On trend and absolutely delicious! http://t.co/3UtfDmKbjx 
53,#wine #icebucket #work #rose #white #colour #pinotgrigio #sauvignon #blanc #chardonnay http://t.co/YenLNfPfih       
54,"Today's Special! Cockle Linguine - Juicy cockles w/ garlic, chilli, parsley, tossed through pasta w/ butter &amp; organic Chardonnay white wine!    "
55,@TascaWine an extremely delicious Chardonnay
56,#thewineoak #pouring #wine into a #wineglass #whitewine #chardonnay #spring http://t.co/m4wpihibKl  
57,"RT @DeBortoliWines: @vitibit:Hello Chardonnay, did you not get the memo? #itsstillwinter @DeBortoliWines #huntervalley http://t.co/va5YFIo? "
58,RT @bubblexxxmag: Mz.Chardonnay | BubbleShake http://t.co/ODWgM2cIr8
59,Chardonnay has got me feelin nice   
60,"Good morning #tunbridgewells! Come and try some catena alta, a fine wine Chardonnay from Argentina! "
61,I've just seen the email about the Eileen Hardy Chardonnay...really good quality wine that. It's got my coveted stamp of approval.  
