num,text,favorited,replyToSN,created,truncated,replyToSID,id,screenName,retweetCount,retweeted,longitude,latitude
1,@ayyytylerb that is so true drink lots of coffee,FALSE,ayyytylerb,08/09/13 2:43,FALSE,3.66E+17,3.66E+17,thejennagibson,0,FALSE,NA,NA
2,"RT @bryzy_brib: Senior March tmw morning at 7:25 A.M. in the SENIOR lot. Get up early, make yo coffee/eakfast, cus this will only happen ?",FALSE,<NA>,08/09/13 2:43,FALSE,NA,3.66E+17,carolynicosia,1,FALSE,NA,NA
3,If you believe in #gunsense tomorrow would be a very good day to have your coffee any place BUT tarbucks Guns+Coffee=#nosense @MomsDemand,FALSE,<NA>,08/09/13 2:43,FALSE,NA,3.66E+17,janeCkay,0,FALSE,NA,NA
4,My cute coffee mug. http://t.co/2udvMU6XIG,FALSE,<NA>,08/09/13 2:43,FALSE,NA,3.66E+17,AlexandriaOOTD,0,FALSE,NA,NA
5,RT @slaredo21: I wish we had Starbucks here... Cause coffee dates in the morning sound perff!,FALSE,<NA>,08/09/13 2:43,FALSE,NA,3.66E+17,Rooosssaaaa,2,FALSE,NA,NA
6,Does anyone ever get a cup of coffee before a cocktail??,FALSE,<NA>,08/09/13 2:43,FALSE,NA,3.66E+17,E_Z_MAC,0,FALSE,NA,NA
7,"I like my coffee like I like my women...black, bitter, and preferably fair trade. I love #Archer",FALSE,<NA>,08/09/13 2:43,FALSE,NA,3.66E+17,Charlie_31191,0,FALSE,NA,NA
8,@dreamwwediva ya didn't have coffee did ya?,FALSE,dreamwwediva,08/09/13 2:43,FALSE,3.66E+17,3.66E+17,JessicaSalvato5,0,FALSE,NA,NA
9,RT @iDougherty42: I just want some coffee.,FALSE,<NA>,08/09/13 2:43,FALSE,NA,3.66E+17,kaytiekirk,1,FALSE,NA,NA
10,RT @Dorkv76: I can't care before coffee.,FALSE,<NA>,08/09/13 2:43,FALSE,NA,3.66E+17,lissteria,2,FALSE,NA,NA
11,No lie I wouldn't mind coming home smelling like coffee,FALSE,<NA>,08/09/13 2:43,FALSE,NA,3.66E+17,DOPECROOK,0,FALSE,NA,NA
12,RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. rity auction: https://t.co/VTkK?,FALSE,<NA>,08/09/13 2:43,FALSE,NA,3.66E+17,TiffCaruso,6,FALSE,NA,NA
13,Have I ever told any of you that Tate Donovan bought my stepmom coffee?,FALSE,<NA>,08/09/13 2:43,FALSE,NA,3.66E+17,CurlysCrazyMofo,0,FALSE,NA,NA
14,RT @JonasWorldFeed: Play Ping Pong with Joe. Take a tour of the stage with Nick. Have coffee with Kevin. rity auction: https://t.co/VTkK?,FALSE,<NA>,08/09/13 2:43,FALSE,NA,3.66E+17,JoeJonasVA,6,FALSE,NA,NA
15,@HeatherWhaley I was about 2 joke it takes 2 hands to hold hot coffee...then I read headline! n'tDrinkNShoot,FALSE,HeatherWhaley,08/09/13 2:42,FALSE,3.66E+17,3.66E+17,AnnaDuleep,0,FALSE,NA,NA
16,RT @MoveTheSticks: Charlie Whitehurst looks like he should be working at a coffee shop in Portland or ting a renovation show on HGTV.,FALSE,<NA>,08/09/13 2:42,FALSE,NA,3.66E+17,mpr4437,42,FALSE,NA,NA
17,Coffee always makes everything better.,FALSE,<NA>,08/09/13 2:42,FALSE,NA,3.66E+17,sharkshukri,0,FALSE,NA,NA
18,RT @AdelaideReview: Food For Thought: @Annabelleats shares a delicious Venison and Porcini Mushroom Pie ipe. http://t.co/N8O7vqFKWN http?,FALSE,<NA>,08/09/13 2:42,FALSE,NA,3.66E+17,thepaulbaker,1,FALSE,NA,NA
19,RT @LittleMelss: lmfao!!!@bryanlaca: nahhh Melanie u is fa sho like an ummm a Coffee table ;) ) yeeeee oo,FALSE,<NA>,08/09/13 2:42,FALSE,NA,3.66E+17,bryanlaca,1,FALSE,NA,NA
20,I wonder if Christian Colon will get a cup of coffee once the rosters expand to 40 man in September. lly nothing to lose by doing so.,FALSE,<NA>,08/09/13 2:42,FALSE,NA,3.66E+17,Shauncore,0,FALSE,NA,NA
21,Shouldn't have drank coffee I'm jittery as fuck.,FALSE,<NA>,08/09/13 2:42,FALSE,NA,3.66E+17,DylanBaur,0,FALSE,NA,NA
22,#good_morning #chocolate #morning #coffee #floral #eid #nutella #waffles #crepe #jeddah #ksa #dubai #q8 p://t.co/Em61Iopri5,FALSE,<NA>,08/09/13 2:42,FALSE,NA,3.66E+17,LadyMonyAna1,0,FALSE,NA,NA
23,@kungfupussy You might need to do a bulk shipment to Melbourne! @JustBeer_NoBull @brandnewblues,FALSE,kungfupussy,08/09/13 2:42,FALSE,3.66E+17,3.66E+17,Gridlock_Coffee,0,FALSE,NA,NA
24,Gold Coast JCC Friday News features profile on new coffee shop in Southport that's embracing the area's itage: http://t.co/Na32boM2bO,FALSE,<NA>,08/09/13 2:42,FALSE,NA,3.66E+17,_GCJCC,0,FALSE,NA,NA
25,Sometimes I start dancing on my coffee table because I can.,FALSE,<NA>,08/09/13 2:42,FALSE,NA,3.66E+17,Rileydreams,0,FALSE,NA,NA
26,"RT @Leslieks: .@Starbucks I have a morning free tomorrow &amp; was going to have coffee w/friends, but  until you get some #Gunsense! #momsd?",FALSE,<NA>,08/09/13 2:42,FALSE,NA,3.66E+17,TweetJohnLane,9,FALSE,NA,NA
27, Starbucks Coffee is the best!!! #confessyourunpopularopinion,FALSE,<NA>,08/09/13 2:42,FALSE,NA,3.66E+17,RedBone_Barbie5,0,FALSE,NA,NA
28,RT @TheMindBlowing: Fat Burning Foods: Grapefruit. Watermelon. Berries. Hot Peppers. Celery. Greek urt. Eggs. Fish. Green Tea. Coffee. ?,FALSE,<NA>,08/09/13 2:42,FALSE,NA,3.66E+17,RLauren88,926,FALSE,NA,NA
