document,term,count
2,chapter,1
2,loomings,1
5,agonever,1
5,call,1
5,ishmael,1
5,long,1
5,mind,1
5,precisely,1
5,years,1
6,interest,1
6,little,1
6,money,1
6,nothing,1
6,particular,1
6,purse,1
7,little,1
7,part,1
7,sail,1
7,see,1
7,shore,1
7,thought,1
7,watery,1
8,driving,1
8,regulating,1
8,spleen,1
8,way,1
8,world,1
9,circulation,1
9,find,1
9,grim,1
9,growing,1
9,mouth,1
9,whenever,1
10,damp,1
10,drizzly,1
10,find,1
10,november,1
10,soul,1
10,whenever,2
11,bringing,1
11,coffin,1
11,involuntarily,1
11,pausing,1
11,warehouses,1
12,especially,1
12,every,1
12,funeral,1
12,get,1
12,hypos,1
12,meet,1
12,rear,1
12,whenever,1
13,hand,1
13,moral,1
13,principle,1
13,requires,1
13,strong,1
13,upper,1
14,deliberately,1
14,methodically,1
14,prevent,1
14,stepping,1
14,street,1
15,account,1
15,get,1
15,hats,1
15,high,1
15,knocking,1
15,peoples,1
15,sea,1
15,time,1
16,ball,1
16,can,1
16,pistol,1
16,soon,1
16,substitute,1
17,cato,1
17,flourish,1
17,philosophical,1
17,quietly,1
17,sword,1
17,throws,1
17,upon,1
18,knew,1
18,nothing,1
18,ship,1
18,surprising,1
18,take,1
19,almost,1
19,cherish,1
19,degree,1
19,men,1
19,time,1
20,feelings,1
20,nearly,1
20,ocean,1
20,towards,1
22,belted,1
22,city,1
22,insular,1
22,manhattoes,1
22,now,1
22,round,1
23,coral,1
23,indian,1
23,isles,1
23,reefscommerce,1
23,surrounds,1
23,wharves,1
24,extreme,1
24,left,1
24,right,1
24,streets,1
24,surf,1
24,take,1
24,waterward,1
25,battery,1
25,downtown,1
25,mole,1
25,noble,1
25,washed,1
25,waves,1
26,breezes,1
26,cooled,1
26,hours,1
26,land,1
26,previous,1
26,sight,1
27,crowds,1
27,look,1
27,watergazers,1
29,afternoon,1
29,circumambulate,1
29,city,1
29,corlears,1
29,dreamy,1
29,sabbath,1
30,coenties,1
30,hook,1
30,northward,1
30,slip,1
30,thence,1
30,whitehall,1
31,around,1
31,like,1
31,seeposted,1
31,sentinels,1
31,silent,1
31,stand,1
31,town,1
32,fixed,1
32,men,1
32,mortal,1
32,ocean,1
32,reveries,1
32,thousands,2
32,upon,1
33,leaning,1
33,pierheads,1
33,seated,1
33,spiles,1
33,upon,1
34,aloft,1
34,bulwarks,1
34,china,1
34,high,1
34,looking,1
34,ships,1
35,better,1
35,get,1
35,peep,1
35,rigging,1
35,seaward,1
35,still,1
35,striving,1
36,days,1
36,landsmen,1
36,lath,1
36,pent,1
36,plastertied,1
36,week,1
37,benches,1
37,clinched,1
37,counters,1
37,desks,1
37,nailed,1
38,fields,1
38,gone,1
38,green,1
40,come,1
40,crowds,1
40,look,1
40,pacing,1
40,straight,1
40,water,1
41,bound,1
41,content,1
41,dive,1
41,nothing,1
41,seemingly,1
41,strange,1
41,will,1
42,extremest,1
42,land,1
42,lee,1
42,limit,1
42,loitering,1
42,shady,1
42,yonder,1
43,get,1
43,just,1
43,must,1
43,nigh,1
43,suffice,1
43,warehouses,1
43,water,1
43,will,1
44,can,1
44,falling,1
44,possibly,1
44,standmiles,1
44,without,1
45,alleys,1
45,come,1
45,inlanders,1
45,lanes,1
45,leagues,1
45,streets,1
46,avenuesnorth,1
46,east,1
46,south,1
46,unite,1
46,west,1
46,yet,1
47,compasses,1
47,magnetic,1
47,needles,1
47,tell,1
47,virtue,1
48,attract,1
48,ships,1
48,thither,1
50,country,1
50,high,1
50,lakes,1
50,land,1
50,say,1
50,take,1
51,almost,1
51,carries,1
51,one,1
51,path,1
51,please,1
51,ten,1
52,dale,1
52,leaves,1
52,magic,1
52,pool,1
52,stream,1
53,absentminded,1
53,deepest,1
53,let,1
53,men,1
53,plunged,1
54,feet,1
54,going,1
54,legs,1
54,man,1
54,reveriesstand,1
54,set,1
54,will,1
55,infallibly,1
55,lead,1
55,region,1
55,water,2
56,american,1
56,athirst,1
56,desert,1
56,ever,1
56,great,1
56,try,1
57,caravan,1
57,experiment,1
57,happen,1
57,metaphysical,1
57,supplied,1
58,every,1
58,knows,1
58,meditation,1
58,one,1
58,professor,1
58,water,1
58,wedded,1
58,yes,1
59,ever,1
61,artist,1
61,desires,1
61,dreamiest,1
61,paint,1
61,shadiest,1
62,bit,1
62,enchanting,1
62,landscape,1
62,quietest,1
62,romantic,1
62,valley,1
63,chief,1
63,element,1
63,employs,1
63,saco,1
63,stand,1
63,trees,1
64,crucifix,1
64,hermit,1
64,hollow,1
64,trunk,1
64,within,1
65,cattle,1
65,meadow,1
65,sleep,1
65,sleeps,1
65,yonder,1
66,cottage,1
66,deep,1
66,distant,1
66,goes,1
66,sleepy,1
66,smoke,1
66,winds,1
66,woodlands,1
67,bathed,1
67,mazy,1
67,mountains,1
67,overlapping,1
67,reaching,1
67,spurs,1
67,way,1
68,blue,1
68,hillside,1
68,lies,1
68,picture,1
68,though,2
68,thus,1
68,tranced,1
69,leaves,1
69,like,1
69,pinetree,1
69,shakes,1
69,shepherds,1
69,sighs,1
69,upon,1
70,eye,1
70,fixed,1
70,head,1
70,shepherds,1
70,unless,1
70,upon,1
70,vain,1
70,yet,1
71,june,1
71,magic,1
71,prairies,1
71,scores,1
71,stream,1
71,visit,1
72,among,1
72,kneedeep,1
72,miles,1
72,scores,1
72,tigerlilies,1
72,wade,1
73,charm,1
73,drop,1
73,one,1
73,wantingwater,1
73,water,1
74,cataract,1
74,miles,1
74,niagara,1
74,sand,1
74,thousand,1
74,travel,1
75,poet,1
75,poor,1
75,receiving,1
75,see,1
75,suddenly,1
75,tennessee,1
75,two,1
75,upon,1
76,buy,1
76,coat,1
76,deliberate,1
76,handfuls,1
76,sadly,1
76,silver,1
76,whether,1
77,beach,1
77,invest,1
77,money,1
77,needed,1
77,pedestrian,1
77,rockaway,1
77,trip,1
78,almost,1
78,boy,1
78,every,1
78,healthy,2
78,robust,2
78,soul,1
79,crazy,1
79,first,1
79,sea,1
79,time,1
79,upon,1
79,voyage,1
80,feel,1
80,first,1
80,mystical,1
80,passenger,1
80,vibration,1
81,land,1
81,now,1
81,ship,1
81,sight,1
81,told,1
82,give,1
82,greeks,1
82,hold,1
82,holy,1
82,old,1
82,persians,1
82,sea,1
82,separate,1
83,brother,1
83,deity,1
83,jove,1
83,meaning,1
83,surely,1
83,without,1
84,deeper,1
84,meaning,1
84,narcissus,1
84,still,1
84,story,1
85,fountain,1
85,grasp,1
85,image,1
85,mild,1
85,saw,1
85,tormenting,1
86,drowned,1
86,image,1
86,plunged,1
86,see,1
87,image,1
87,oceans,1
87,phantom,1
87,rivers,1
87,ungraspable,1
88,key,1
88,life,1
90,begin,1
90,going,1
90,habit,1
90,now,1
90,say,1
90,sea,1
90,whenever,1
91,begin,1
91,conscious,1
91,eyes,1
91,grow,1
91,hazy,1
91,lungs,1
92,ever,1
92,inferred,1
92,mean,1
92,passenger,1
92,sea,1
93,must,1
93,needs,1
93,passenger,1
93,purse,2
94,besides,1
94,get,1
94,passengers,1
94,rag,1
94,something,1
94,unless,1
95,enjoy,1
95,nights,1
95,quarrelsome,1
95,seasickgrow,1
95,sleep,1
96,general,1
96,much,1
96,never,1
96,passenger,1
96,thing,1
97,ever,1
97,salt,1
97,sea,1
97,something,1
97,though,1
98,abandon,1
98,captain,1
98,commodore,1
98,cook,1
98,distinction,1
98,glory,1
99,abominate,1
99,like,1
99,offices,1
99,part,1
100,every,1
100,honourable,1
100,kind,1
100,respectable,1
100,toils,1
100,trials,1
100,tribulations,1
101,can,1
101,care,1
101,much,1
101,quite,1
101,take,1
101,whatsoever,1
102,barques,1
102,brigs,1
102,care,1
102,schooners,1
102,ships,1
102,taking,1
102,without,1
103,confess,1
103,considerable,1
103,cookthough,1
103,glory,1
103,going,1
104,cook,1
104,officer,1
104,shipboardyet,1
104,somehow,1
104,sort,1
105,broiled,1
105,broiling,1
105,fancied,1
105,fowlsthough,1
105,judiciously,1
105,never,1
106,buttered,1
106,judgmatically,1
106,one,1
106,peppered,1
106,salted,1
107,broiled,1
107,respectfully,1
107,reverentially,1
107,say,1
107,speak,1
107,will,1
108,dotings,1
108,fowl,1
108,idolatrous,1
108,old,1
108,will,1
109,broiled,1
109,egyptians,1
109,horse,1
109,ibis,1
109,river,1
109,roasted,1
109,see,1
109,upon,1
110,bakehouses,1
110,creatures,1
110,huge,1
110,mummies,1
110,pyramids,1
112,mast,1
112,right,1
112,sailor,1
112,sea,1
112,simple,1
113,aloft,1
113,forecastle,1
113,masthead,1
113,plumb,1
113,royal,1
114,jump,1
114,make,1
114,order,1
114,rather,1
114,spar,1
114,TRUE,1
115,first,1
115,grasshopper,1
115,like,1
115,may,1
115,meadow,1
115,sort,1
115,spar,1
116,enough,1
116,honour,1
116,ones,1
116,sense,1
116,thing,1
116,touches,1
116,unpleasant,1
117,come,1
117,established,1
117,family,1
117,land,1
117,old,1
117,particularly,1
118,hardicanutes,1
118,randolphs,1
118,rensselaers,1
118,van,1
119,hand,1
119,just,1
119,previous,1
119,putting,1
119,tarpot,1
120,boys,1
120,country,1
120,lording,1
120,making,1
120,schoolmaster,1
120,stand,1
120,tallest,1
121,assure,1
121,awe,1
121,keen,1
121,one,1
121,transition,1
122,decoction,1
122,requires,1
122,sailor,1
122,schoolmaster,1
122,seneca,1
122,strong,1
123,bear,1
123,enable,1
123,even,1
123,grin,1
123,stoics,1
123,wears,1
124,time,1
126,broom,1
126,get,1
126,hunks,1
126,old,1
126,orders,1
126,seacaptain,1
127,amount,1
127,decks,1
127,indignity,1
127,sweep,1
127,weighed,1
128,archangel,1
128,mean,1
128,new,1
128,scales,1
128,testament,1
128,think,1
129,anything,1
129,gabriel,1
129,less,1
129,promptly,1
129,thinks,1
130,aint,1
130,hunks,1
130,instance,1
130,obey,1
130,old,1
130,particular,1
130,respectfully,1
131,however,1
131,may,1
131,old,1
131,seacaptains,1
131,slave,1
131,tell,1
131,well,1
132,however,1
132,may,1
132,order,1
132,punch,1
132,thump,1
133,else,1
133,everybody,1
133,knowing,1
133,right,1
133,satisfaction,1
134,much,1
134,one,1
134,physical,1
134,served,1
134,way,1
134,wayeither,1
135,metaphysical,1
135,point,1
135,thump,1
135,universal,1
135,view,1
136,hands,1
136,passed,1
136,round,1
136,rub,1
136,shoulderblades,1
137,content,1
139,always,1
139,make,1
139,point,1
139,sailor,1
139,sea,1
140,never,1
140,passengers,1
140,pay,1
140,paying,1
140,single,1
140,trouble,1
140,whereas,1
141,contrary,1
141,ever,1
141,heard,1
141,must,1
141,passengers,1
141,penny,1
142,difference,1
142,pay,1
142,paying,1
142,world,1
143,act,1
143,paid,1
143,paying,1
143,perhaps,1
143,uncomfortable,1
144,entailed,1
144,infliction,1
144,orchard,1
144,thieves,1
144,two,1
144,upon,1
145,activity,1
145,compare,1
145,man,1
145,paid,1
145,urbane,1
145,will,1
146,considering,1
146,earnestly,1
146,marvellous,1
146,money,1
146,really,1
146,receives,1
147,account,1
147,believe,1
147,earthly,1
147,ills,1
147,money,1
147,root,1
148,can,1
148,cheerfully,1
148,consign,1
148,enter,1
148,heaven,1
148,man,1
148,monied,1
149,perdition,1
151,always,1
151,finally,1
151,sailor,1
151,sea,1
151,wholesome,1
152,air,1
152,deck,1
152,exercise,1
152,forecastle,1
152,pure,1
152,world,1
153,astern,1
153,far,1
153,head,1
153,prevalent,1
153,winds,2
154,maxim,1
154,never,1
154,part,1
154,pythagorean,1
154,violate,1
155,atmosphere,1
155,commodore,1
155,gets,1
155,hand,1
155,quarterdeck,1
155,second,1
156,breathes,1
156,first,1
156,forecastle,1
156,sailors,1
156,thinks,1
157,commonalty,1
157,lead,1
157,leaders,1
157,many,1
157,much,1
157,way,1
158,leaders,1
158,little,1
158,suspect,1
158,things,1
158,time,1
159,repeatedly,1
159,sea,1
159,smelt,1
159,wherefore,1
160,head,1
160,merchant,1
160,now,1
160,sailor,1
160,take,1
160,whaling,1
161,fates,1
161,invisible,1
161,officer,1
161,police,1
161,voyage,1
162,constant,1
162,dogs,1
162,influences,1
162,secretly,1
162,surveillance,1
163,answer,1
163,better,1
163,can,1
163,else,1
163,one,1
163,unaccountable,1
163,way,1
164,doubtless,1
164,formed,1
164,going,1
164,grand,1
164,part,1
164,voyage,1
164,whaling,1
165,ago,1
165,came,1
165,drawn,1
165,long,1
165,programme,1
165,providence,1
165,time,1
166,brief,1
166,extensive,1
166,interlude,1
166,performances,1
166,solo,1
166,sort,1
167,bill,1
167,like,1
167,must,1
167,part,1
167,run,1
167,something,1
167,take,1
170,contested,1
170,election,1
170,grand,1
170,presidency,1
170,states,1
170,united,1
172,ishmael,1
172,one,1
172,voyage,1
172,whaling,1
174,affghanistan,1
174,battle,1
174,bloody,1
177,exactly,1
177,managers,1
177,stage,1
177,tell,1
177,though,1
178,fates,1
178,others,1
178,part,1
178,put,1
178,shabby,1
178,voyage,1
178,whaling,1
179,high,1
179,magnificent,1
179,parts,1
179,set,1
179,short,1
179,tragedies,1
180,comedies,1
180,easy,1
180,farcesthough,1
180,genteel,1
180,jolly,1
180,parts,2
181,exactly,1
181,now,1
181,recall,1
181,tell,1
181,yet,1
182,can,1
182,circumstances,1
182,little,1
182,motives,1
182,see,1
182,springs,1
182,think,1
183,cunningly,1
183,disguises,1
183,induced,1
183,presented,1
183,various,1
184,besides,1
184,cajoling,1
184,part,1
184,performing,1
184,set,1
185,choice,1
185,delusion,1
185,freewill,1
185,resulting,1
185,unbiased,1
186,discriminating,1
186,judgment,1
188,among,1
188,chief,1
188,great,1
188,idea,1
188,motives,1
188,overwhelming,1
189,monster,1
189,mysterious,1
189,portentous,1
189,roused,1
189,whale,1
190,curiosity,1
190,distant,1
190,island,1
190,rolled,1
190,seas,1
190,wild,1
191,bulk,1
191,nameless,1
191,perils,1
191,undeliverable,1
191,whale,1
192,attending,1
192,helped,1
192,marvels,1
192,patagonian,1
192,sights,1
192,sounds,1
192,thousand,1
193,men,1
193,perhaps,1
193,sway,1
193,things,1
193,wish,1
194,everlasting,1
194,inducements,1
194,tormented,1
195,forbidden,1
195,itch,1
195,land,1
195,love,1
195,remote,1
195,sail,1
195,seas,1
195,things,1
196,barbarous,1
196,coasts,1
196,good,1
196,ignoring,1
196,perceive,1
196,quick,1
197,horror,1
197,let,1
197,since,1
197,social,1
197,still,1
198,friendly,1
198,inmates,1
198,place,1
198,terms,1
198,well,1
199,lodges,1
199,one,1
201,reason,1
201,things,1
201,voyage,1
201,welcome,1
201,whaling,1
202,floodgates,1
202,great,1
202,open,1
202,swung,1
202,wild,1
202,wonderworld,1
203,conceits,1
203,floated,1
203,purpose,1
203,swayed,1
203,two,2
204,endless,1
204,inmost,1
204,mid,1
204,processions,1
204,soul,1
204,whale,1
205,air,1
205,grand,1
205,hill,1
205,hooded,1
205,like,1
205,one,1
205,phantom,1
205,snow,1
209,carpetbag,1
209,chapter,1
212,arm,1
212,carpetbag,1
212,old,1
212,shirt,1
212,stuffed,1
212,tucked,1
212,two,1
213,cape,1
213,city,1
213,good,1
213,horn,1
213,pacific,1
213,quitting,1
213,started,1
214,arrived,1
214,bedford,1
214,duly,1
214,manhatto,1
214,new,1
214,night,1
214,old,1
214,saturday,1
215,december,1
215,disappointed,1
215,learning,1
215,little,1
215,much,1
215,packet,1
215,upon,1
216,already,1
216,nantucket,1
216,place,1
216,reaching,1
216,sailed,1
216,way,1
217,following,1
217,monday,1
